timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764253554593,1350,Home,200,,Thread Group 1 1-86,text,true,,5664,148,6,6,https://petstore.octoperf.com/actions/Catalog.action,1348,0,1016
1764253553594,2515,Home,200,,Thread Group 1 1-85,text,true,,5664,148,6,6,https://petstore.octoperf.com/actions/Catalog.action,2515,0,2216
1764253555902,280,SignIn page,200,,Thread Group 1 1-79,text,true,,4656,160,6,6,https://petstore.octoperf.com/actions/Account.action?signonForm=,280,0,0
1764253555942,298,Fish Page,200,,Thread Group 1 1-86,text,true,,4619,178,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,298,0,0
1764253556109,300,Fish Page,200,,Thread Group 1 1-85,text,true,,4619,178,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,300,0,0
1764253553527,3309,Cart Page,200,,Thread Group 1 1-81,text,true,,4797,155,7,7,https://petstore.octoperf.com/actions/Cart.action?viewCart=,2667,0,0
1764253552595,4241,Home,200,,Thread Group 1 1-84,text,true,,5664,148,7,7,https://petstore.octoperf.com/actions/Catalog.action,3724,0,3458
1764253556183,652,SignUp Page,200,,Thread Group 1 1-79,text,true,,6573,164,7,7,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,652,0,0
1764253556241,596,Dog page,200,,Thread Group 1 1-86,text,true,,4991,178,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,595,0,0
1764253556409,428,Dog page,200,,Thread Group 1 1-85,text,true,,4991,178,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,428,0,0
1764253556838,263,Reptiles Page,200,,Thread Group 1 1-85,text,true,,4271,182,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,263,0,0
1764253556836,267,Cart Page,200,,Thread Group 1 1-79,text,true,,4797,155,6,6,https://petstore.octoperf.com/actions/Cart.action?viewCart=,267,0,0
1764253556838,297,Reptiles Page,200,,Thread Group 1 1-86,text,true,,4271,182,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,297,0,0
1764253556836,486,Fish Page,200,,Thread Group 1 1-84,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,251,0,0
1764253557102,268,Cats Page,200,,Thread Group 1 1-85,text,true,,4265,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,267,0,0
1764253555592,1824,Home,200,,Thread Group 1 1-87,text,true,,5664,148,5,5,https://petstore.octoperf.com/actions/Catalog.action,1824,0,1595
